key	en	ru
hello1	**Hewwo ewerywone!!** I ám ***Venus***, ánd exíted tó bé hére! **:**3ɔ	**Дра́тути!!** Я́ — ***Венера***, и́ я́ о́ччч ра́да бы́ть ту́т! **:**3ɔ
hello2	My occupáton ís spámbot défence! Run `/howdoidefend` tó gét usage PRO típs!	Моя́ рабо́та — э́то защи́та о́т спа́мботов! Ю́зай `/howdoidefend`, что́бы получи́ть сове́ты по́ защи́те!
hello3	If you gót addítıonal quéstıons ásk my créator <@809036790416539658>	Е́сли у́ тебя́ оста́лись вопро́сы, пиши́ моему́ созда́телю <@809036790416539658>
guide1	**Hí!** Its me, ***Venus*** `{^v^⌯}`\n# Thís ís a _advíce líst_ hów dó you maxımíze your défence	**При́в!** Э́то я́, ***Вене́ра*** `{^v^⌯}`\n# Э́то _спи́сок сове́тов_ ка́к максима́льно защи́тить ва́шу ги́льдию 
guide2	**𝐅𝐢́𝐫𝐬𝐭**, máke a __públıc__ chánnel whére __ányone__ cán týpe!\n**Thén**, `/addtrap` tó thát chánnel!	**Во́-пе́рвых**, сде́лай __публи́чный__ ча́т, где́ писа́ть смо́гут __все́__!\n**Зате́м**, ю́зай кома́нду `/addtrap` в́ э́том кана́ле!
guide3	𝐒𝐞́𝐜𝐨𝐧𝐭**, restríct píngıng **\\@éveryone** ánd róles móst péople hás, fór exámple	**Во́-вторы́х**, выру́бай пи́нги **\@éveryone** и́ роле́й, кото́рые е́сть у́ бо́льшинства, ти́па ка́к
guide4	ánd **\\@Venus Trap**.\n thén spámmers cóuld nót píng péople.	и́ **\@Venus Trap**.\n тогда́ спа́меры не́ смо́гут достава́ть люде́й.
guide5	𝐓𝐡𝐢́𝐫𝐬𝐭**, `/réport` spámmers. Thén Ì\`ll knów théy áre dangeróus `{◕‿◕}`	**В-тре́тьих**, ре́порти спа́меров чере́з `/report`. Тогда́ я́ запомню, что́ они́ опа́сные `{◕‿◕}`
trap	Thé chánnel ís á tráp\n# DON'T WRITE ANYTHING IN HERE\n# IT WILL BAN YOU PERMANENTLY ON EVERY SERVER\n# WHERE VENUS TRAP IS LOCATED	Э́тот кана́л — лову́шка\n# НИЧЕГО СЮДА НЕ ПИШИТЕ\n# ЭТО ПРИВЕДЕТ К ПЕРМАНЕНТНОМУ БАНУ НА ВСЕХ СЕРВЕРАХ\n# ГДЕ ЕСТЬ ВЕНЕРА
untrap	Thé chánnel ís no lónger a tráp `{~v~}`	Э́тот кана́л бо́льше не́ лову́шка `{~v~}`
stats1	_JOOOOO_!!! `{XD}` I háve bánned	_ЙООООУ_!!! `{XD}` Я́ заба́нила
stats2	spámmers ín hére	спа́меров зде́сь
chart1	## I drèw sóme nìce chàrt:	## Я̀ нарисова̀ла кла́ссную табли́чку:
chart2	Prètty good rèsults tbh `{@w@}`	Вполнѐ хоро̀шие результа̀ты `{@w@}`
reportfail	Yóu\`re nót trústed tó réport, sory `{^ŵ}🗯`	Тебе́ не́льзя кида́ть ре́порты, сори `{^ŵ}🗯`
reportsucc	**OK!** I wíll rémember hím :writing_hand:`{^^J}`	**OK!** Я́ запо́мню его́ :writing_hand:`{^^J}`
/addtrap	Set trap in this channel	Поставить ловушку в этом чате
/removetrap	Untrap this channel	Убрать ловушку из этого чата
/report	Report a user	Кинуть репорт
/banstats	Show ban stats	Показать статистику бана
/banlist	Show all banned users	Показать всех забаненных
/howdoidefend	Explain how to make your server safer	Рассказать как сделать ваш сервер спокойнее
beggar1	**Приве́т!** Э́т я, ***Венера***.
beggar2	Я́ была́ на твое́̈м се́рвере 
beggar3	дне́й и заба́нила
beggar3	наруши́тлей.
beggar4	```{. _.}\n  р q```
beggar5	Для́ продо́лжения рабо́ты мне́ нужны́ де́ньги _тк_ се́рвер не́ беспла́тный.\nЕ́сли никто́ не́ отзове́̈тся, прое́кт закро́ется.
